咪咕移动,#genre#
青海卫视,http://39.134.66.66/PLTV/88888888/224/3221225573/index.m3u8
求索动物8M,http://39.134.66.66/PLTV/88888888/224/3221225730/index.m3u8
求索纪录8M,http://39.134.66.66/PLTV/88888888/224/3221225713/index.m3u8
求索科学8M,http://39.134.66.66/PLTV/88888888/224/3221225728/index.m3u8
求索生活8M,http://39.134.66.66/PLTV/88888888/224/3221225715/index.m3u8
山东教育卫视,http://39.134.66.66/PLTV/88888888/224/3221225558/index.m3u8
山西卫视,http://39.134.66.66/PLTV/88888888/224/3221225496/index.m3u8
陕西卫视,http://39.134.66.66/PLTV/88888888/224/3221225567/index.m3u8
上海哈哈炫动,http://39.134.66.66/PLTV/88888888/224/3221225534/index.m3u8
上海纪实人文,http://39.134.66.66/PLTV/88888888/224/3221225673/index.m3u8
深圳卫视,http://39.134.66.66/PLTV/88888888/224/3221225668/index.m3u8
四川康巴卫视,http://39.134.66.66/PLTV/88888888/224/3221225527/index.m3u8
天津卫视,http://39.134.66.66/PLTV/88888888/224/3221225665/index.m3u8
西藏卫视,http://39.134.66.66/PLTV/88888888/224/3221225570/index.m3u8
新疆卫视,http://39.134.66.66/PLTV/88888888/224/3221225582/index.m3u8
浙江卫视,http://39.134.66.66/PLTV/88888888/224/3221225514/index.m3u8
中国教育1,http://39.134.66.66/PLTV/88888888/224/3221225563/index.m3u8
北京冬奥纪实,http://39.134.66.66/PLTV/88888888/224/3221225670/index.m3u8
北京卡酷少儿,http://39.134.66.66/PLTV/88888888/224/3221225562/index.m3u8
河南电信,#genre#
CCTV-1综合,http://222.89.16.225:808/hls/1/index.m3u8
CCTV-2财经,http://222.89.16.225:808/hls/2/index.m3u8
CCTV-3综艺,http://222.89.16.225:808/hls/3/index.m3u8
CCTV-4中文国际,http://222.89.16.225:808/hls/4/index.m3u8
CCTV-5体育,http://222.89.16.225:808/hls/5/index.m3u8
CCTV-6电影,http://222.89.16.225:808/hls/6/index.m3u8
CCTV-7国防军事,http://222.89.16.225:808/hls/7/index.m3u8
CCTV-8电视剧,http://222.89.16.225:808/hls/8/index.m3u8
CCTV-9记录,http://222.89.16.225:808/hls/9/index.m3u8
CCTV-10科教,http://222.89.16.225:808/hls/10/index.m3u8
CCTV-11戏曲,http://222.89.16.225:808/hls/11/index.m3u8
CCTV-12社会与法,http://222.89.16.225:808/hls/12/index.m3u8
CCTV-13新闻,http://222.89.16.225:808/hls/13/index.m3u8
CCTV-14少儿,http://222.89.16.225:808/hls/14/index.m3u8
CCTV-15音乐,http://222.89.16.225:808/hls/15/index.m3u8
CNTV,http://222.89.16.225:808/hls/16/index.m3u8
CCTV-17农业农村,http://222.89.16.225:808/hls/17/index.m3u8
CCTV5+体育赛事,http://222.89.16.225:808/hls/18/index.m3u8
河南卫视,http://222.89.16.225:808/hls/31/index.m3u8
河南都市频道,http://222.89.16.225:808/hls/32/index.m3u8
河南民生频道,http://222.89.16.225:808/hls/33/index.m3u8
河南法制频道,http://222.89.16.225:808/hls/34/index.m3u8
河南电视剧频道,http://222.89.16.225:808/hls/35/index.m3u8
河南公共频道,http://222.89.16.225:808/hls/38/index.m3u8
河南新农村频道,http://222.89.16.225:808/hls/39/index.m3u8
河南国际频道,http://222.89.16.225:808/hls/40/index.m3u8
浙江卫视,http://222.89.16.225:808/hls/61/index.m3u8
东方卫视,http://222.89.16.225:808/hls/62/index.m3u8
江苏卫视,http://222.89.16.225:808/hls/63/index.m3u8
北京卫视,http://222.89.16.225:808/hls/64/index.m3u8
广东卫视,http://222.89.16.225:808/hls/65/index.m3u8
黑龙江卫视,http://222.89.16.225:808/hls/66/index.m3u8
山东卫视,http://222.89.16.225:808/hls/67/index.m3u8
安徽卫视,http://222.89.16.225:808/hls/68/index.m3u8
辽宁卫视,http://222.89.16.225:808/hls/69/index.m3u8
陕西卫视,http://222.89.16.225:808/hls/70/index.m3u8
贵州卫视,http://222.89.16.225:808/hls/71/index.m3u8
河北卫视,http://222.89.16.225:808/hls/72/index.m3u8
江西卫视,http://222.89.16.225:808/hls/73/index.m3u8
湖南卫视,http://222.89.16.225:808/hls/74/index.m3u8
深圳卫视,http://222.89.16.225:808/hls/75/index.m3u8
四川卫视,http://222.89.16.225:808/hls/76/index.m3u8
湖北卫视,http://222.89.16.225:808/hls/77/index.m3u8
天津卫视,http://222.89.16.225:808/hls/78/index.m3u8
云南卫视,http://222.89.16.225:808/hls/79/index.m3u8
重庆卫视,http://222.89.16.225:808/hls/80/index.m3u8
吉林卫视,http://222.89.16.225:808/hls/81/index.m3u8
宁夏卫视,http://222.89.16.225:808/hls/82/index.m3u8
东南卫视,http://222.89.16.225:808/hls/83/index.m3u8
内蒙古卫视,http://222.89.16.225:808/hls/84/index.m3u8
广西卫视,http://222.89.16.225:808/hls/85/index.m3u8
山西卫视,http://222.89.16.225:808/hls/86/index.m3u8
海南卫视,http://222.89.16.225:808/hls/88/index.m3u8
甘肃卫视,http://222.89.16.225:808/hls/89/index.m3u8
青海卫视,http://222.89.16.225:808/hls/90/index.m3u8
金鹰卡通,http://222.89.16.225:808/hls/91/index.m3u8
嘉佳卡通,http://222.89.16.225:808/hls/92/index.m3u8
卡酷动画,http://222.89.16.225:808/hls/93/index.m3u8
炫动卡通,http://222.89.16.225:808/hls/94/index.m3u8
信阳综合频道,http://222.89.16.225:808/hls/100/index.m3u8
信阳公共频道,http://222.89.16.225:808/hls/101/index.m3u8
浉河广电中心,http://222.89.16.225:808/hls/102/index.m3u8
平桥广电中心,http://222.89.16.225:808/hls/
